"V1" "V1" "V1" "V1" "V1"
"291" "C16orf80" "FRAS1" "PREP" "OSBP2" ""
"292" "EPHA8" "PPA2" "WDFY1" "TMEM106A" "COL4A1"
"293" "RAD18" "RNF185" "AKR1B1" "GABRA5" "THSD4"
"294" "MAP4K4" "DUSP6" "EPS15" "NAP1L2" "CCDC157"
"295" "WDR1" "POC1B" "ORC1" "SESTD1" "CPSF4L"
"296" "ARHGAP10" "MTMR6" "NFX1" "TLR5" ""
"297" "MBD3" "LMBR1L" "SNX10" "FAM122A" "BLOC1S5"
"298" "HLTF" "C14orf79" "ITPKC" "PRR19" "NANOS1"
"299" "FAM3A" "SLC12A6" "TMED2" "C1orf192" "S100A13"
"300" "CYBRD1" "ZNF710" "ACHE" "KCTD21" "ASB13"
"301" "SLC6A15" "IQGAP1" "BAX" "TDRD7" "ANAPC7"
"302" "PRKACA" "CIRH1A" "ATXN7L3" "ACADSB" "ANXA4"
"303" "ACTN1" "DDX52" "PSMC5" "XPNPEP3" "RAD54B"
"304" "ZFYVE26" "PCTP" "OGFOD1" "CD55" "ATG7"
"305" "SPEG" "C17orf80" "TXNDC16" "PPP1R26" "FAM118B"
"306" "TFRC" "SCRN2" "C14orf166" "PDLIM7" "OCLN"
"307" "AFF4" "PTRH2" "GMCL1" "SIPA1L1" "MPZL1"
"308" "UBE2D1" "RPRD1A" "SF3B2" "ZNF544" "HSD17B11"
"309" "MPP5" "ARRB2" "ERGIC2" "ASPH" "SNORD36A"
"310" "HSD17B10" "FOXK2" "ALG6" "TMEM170B" "BAG6"
"311" "MARK2" "LEPREL4" "DDX18" "NT5M" "TRIM39"
"312" "HMMR" "CAPN10" "EDEM2" "PTPLB" "AP1G2"
"313" "DERL2" "GPN2" "TGDS" "ANKRD28" "ZNF891"
"314" "NDE1" "ECM1" "FKBP1A" "EMP2" "LYRM4"
"315" "MRVI1" "SELENBP1" "C20orf194" "ARHGAP23" "BBIP1"
"316" "TMEM38A" "C1orf56" "ZNF343" "DANCR" "FASTKD5"
"317" "AP1M1" "C1orf43" "CPXM1" "TRIM26" "FAM200B"
"318" "SCARB1" "TTC13" "XRN2" "TXNDC5" "ADSL"
"319" "" "SUMF1" "SNX5" "LINC00888" "NFS1"
"320" "PDE8A" "DIS3L2" "MAPKAPK5" "CRCP" "AP5B1"
"321" "SMARCE1" "TCTA" "RBBP9" "MRPS6" ""
"322" "GSDMB" "MANF" "TMEM230" "" "POLG2"
"323" "KDM5A" "SFRP2" "GCN1L1" "" NA
"324" "FERMT2" "MARCH6" "RPLP0" "" NA
"325" "ST6GAL1" "YIPF5" "KIF16B" NA NA
"326" "FRY" "RNF145" "CHGB" NA NA
"327" "PICALM" "BOD1" "FUS" NA NA
"328" "MRPS34" "DOK3" "FXYD5" NA NA
"329" "NOTCH3" "AIG1" "ZNF302" NA NA
"330" "CLNS1A" "C7orf26" "GANAB" NA NA
"331" "TEAD2" "SRCRB4D" "MLF2" NA NA
"332" "EED" "TMEM168" "DHX32" NA NA
"333" "TSG101" "NOM1" "RCOR1" NA NA
"334" "C17orf85" "EBAG9" "BLVRB" NA NA
"335" "CA12" "MAL2" "SPTLC1" NA NA
"336" "LMAN1" "EIF3H" "PCBP4" NA NA
"337" "ZZEF1" "ASB6" "MRPS33" NA NA
"338" "ENO1" "PTGES2" "STRN4" NA NA
"339" "ANO8" "LRSAM1" "SPG21" NA NA
"340" "ARHGEF10L" "PROSER2" "GOLGA3" NA NA
"341" "KCNQ2" "CCDC82" "MCOLN1" NA NA
"342" "ACTR6" "SERPINH1" "PDPR" NA NA
"343" "TIPIN" "NCAM1" "KIF4A" NA NA
"344" "EIF4G3" "CCDC15" "EXOC1" NA NA
"345" "GTSE1" "SIDT2" "DTX2" NA NA
"346" "ACAT1" "ALDOA" "SEL1L3" NA NA
"347" "CELSR1" "LPHN3" "ORC6" NA NA
"348" "ZNF638" "CCT5" "ZC3HC1" NA NA
"349" "RASAL2" "EIF4E" "CD200" NA NA
"350" "MARK3" "NUBPL" "CCDC80" NA NA
"351" "SLC25A3" "NEK7" "PPP2R3C" NA NA
"352" "FNDC3B" "TEX9" "SCFD1" NA NA
"353" "FOSL2" "SAV1" "HNRNPC" NA NA
"354" "FSCN1" "GUF1" "SUPT16H" NA NA
"355" "WDR62" "C18orf25" "TOX4" NA NA
"356" "DLG1" "PLEKHH2" "SEMA6A" NA NA
"357" "RAB7A" "SAR1B" "WDR76" NA NA
"358" "SART3" "UTRN" "SNAP23" NA NA
"359" "RBM7" "PLOD2" "COL9A3" NA NA
"360" "BAZ2A" "TXNDC11" "CECR1" NA NA
"361" "UNG" "UBP1" "ECHDC1" NA NA
"362" "ANKRD13A" "KCTD15" "UPRT" NA NA
"363" "PAG1" "JPH3" "TMEM38B" NA NA
"364" "GPATCH1" "UBASH3B" "CRAT" NA NA
"365" "ICAM3" "CC2D1B" "NANS" NA NA
"366" "MBNL3" "TRIM11" "NUBP2" NA NA
"367" "RAP1GAP" "SKA1" "ITPR3" NA NA
